resto_id,name,location,address,category_region,category_type,category_cuisine,category_price,category_wifi,rating,vote,desc,url,date_taken,status
111,Ronde Jahe Alkateri,Andir,"Paskal Food Market, Jl. Pasir Kaliki No. 25-27, Andir, Bandung",lokal,jajanan,jawa,20000,no,3.6,17,lokal jajanan jawa cemilan,https://www.zomato.com/bandung/ronde-jahe-alkateri-andir,5/14/2020,FIX
112,Bubur Ayam Gibbas,Andir,"Jl. Kebon Jati No. 187, Andir, Bandung",lokal,resto,,25000,no,3.5,14,lokal resto jajanan bubur,https://www.zomato.com/bandung/bubur-ayam-gibbas-andir,5/14/2020,FIX
113,Starbucks Coffee Sukajadi,Sukajadi,"Paris Van Java, Resort Level, Jl. Sukajadi No. 131-139, Sukajadi, Bandung",internasional,cafe,western,80000,yes,3.9,32,internasional cafe western kopi teh cemilan wifi nyaman,https://www.zomato.com/bandung/starbucks-coffee-sukajadi,5/14/2020,FIX
114,Gyu-Kaku Japanese BBQ Sukajadi,Sukajadi,"Paris Van Java, Resort Level, Jl. Sukajadi No. 131-139, Sukajadi, Bandung",internasional,resto,jepang,150000,no,4.9,2684,internasional resto asia jepang buffet grill nyaman,https://www.zomato.com/bandung/gyu-kaku-japanese-bbq-sukajadi,5/14/2020,FIX
115,Two Hands Full,Sukajadi,"Jl. Sukajadi No. 198A, Sukajadi, Bandung",internasional,cafe,western,90000,no,4.3,264,internasional cafe western kopi teh babi,https://www.zomato.com/bandung/two-hands-full-sukajadi,5/14/2020,FIX
116,Saka Bistro & Bar,Sukajadi,"Jl. Karangsari No. 2, Sukajadi, Bandung",campur,resto,mix,100000,no,4.3,187,internasional resto western asia italia kopi teh alkohol,https://www.zomato.com/bandung/saka-bistro-bar-sukajadi,5/14/2020,FIX
117,Jiganasuki,Sukajadi,"Jl. Sukajadi No. 201, Sukajadi, Bandung",internasional,resto,jepang,100000,yes,4,158,internasional resto asia jepang buffet alkohol wifi,https://www.zomato.com/bandung/jiganasuki-sukajadi,5/14/2020,FIX
118,Moonson Cafe,Sukajadi,"BTC Fashion Mall, GF - J00, Jl. Dr. Djunjunan No.143-149, Pajajaran, Kec. Cicendo, Kota Bandung",internasional,cafe,western,35000,no,4.1,78,internasional cafe western kopi teh cemilan nyaman,https://www.zomato.com/bandung/monsoon-cafe-1-sukajadi,5/14/2020,FIX
119,Iga Bakar Si Jangkung,Sukajadi,"Jl. Cipaganti No. 75B, Sukajadi, Bandung",lokal,resto,,60000,no,4.3,137,lokal resto steak grill,https://www.zomato.com/bandung/iga-bakar-si-jangkung-sukajadi,5/14/2020,FIX
120,Bakmi Apin,Sukajadi,"Jl. Sukajadi No. 158, Sukajadi, Bandung",lokal,resto,,35000,no,3.8,66,lokal resto jajanan bakmi bakso,https://www.zomato.com/bandung/bakmi-apin-sukajadi,5/14/2020,FIX
121,Pho Ngon,Sukajadi,"Paris Van Java, Resort Level, Jl. Sukajadi No. 131-139, Sukajadi, Bandung",internasional,resto,vietnam,75000,no,4,48,internasional resto jajanan asia vietnam cemilan,https://www.zomato.com/bandung/pho-ngon-sukajadi,5/14/2020,FIX
122,Warung Talaga,Sukajadi,"Paris Van Java, Concourse Level, Jl. Sukajadi No. 131-139, Sukajadi, Bandung",lokal,resto,sunda,45000,no,3.3,38,lokal resto sunda,https://www.zomato.com/bandung/warung-talaga-sukajadi,5/14/2020,FIX
123,Steak Hotel by Holycow! TKP PVJ,Sukajadi,"Paris Van Java, Concourse Level, Jl. Sukajadi No. 131-139, Sukajadi, Bandung",internasional,resto,western,150000,no,3.6,57,internasional resto western steak,https://www.zomato.com/bandung/steak-hotel-by-holycow-tkp-pvj-sukajadi,5/14/2020,FIX
124,Pizza E Birra,Sukajadi,"Paris Van Java, Resort Level, Jl. Sukajadi No. 131-139, Sukajadi, Bandung",internasional,resto,western,125000,yes,3.8,41,internasional jajanan western italia pizza wifi alkohol,https://www.zomato.com/bandung/pizza-e-birra-sukajadi,5/14/2020,FIX
125,Ta Wan Sukajadi,Sukajadi,"Paris Van Java, Resort Level, Jl. Sukajadi No. 131-139, Sukajadi, Bandung",internasional,resto,chinese,75000,yes,3.8,39,internasional resto asia chinese bubur wifi,https://www.zomato.com/bandung/ta-wan-sukajadi,5/14/2020,FIX
126,Korean House,Sukajadi,"Jl. Sukajadi No. 175, Sukajadi, Bandung",internasional,resto,korea,125000,yes,3.7,28,internasional resto asia korea wifi,https://www.zomato.com/bandung/korean-house-sukajadi,5/14/2020,FIX
127,Senusa Resto Bandung,Sukajadi,"Jl. Karang Sari No. 16, Sukajadi, Bandung",lokal,resto,,85000,yes,3.5,16,lokal resto wifi nyaman,https://www.zomato.com/bandung/senusa-resto-bandung-sukajadi,5/14/2020,FIX
129,Burger King PVJ,Sukajadi,"Paris Van Java, Resort Level, Jl. Sukajadi No. 131-139, Sukajadi, Bandung",internasional,resto,western,40000,yes,3.6,16,internasional resto jajanan western amerika burger fast food wifi,https://www.zomato.com/bandung/burger-king-sukajadi,5/14/2020,FIX
